Norm365BOELat,BblsFt,Avg_PPG,Adj_WC_365,TVD,BTU_Gas,Neutron_Por,AvgRt*NetPay
6.112771633,12.78,1.439386086,0.42844032,6530,,,
11.19739269,14.21,1.625537371,0.428545449,5989,,,
15.03743809,14.6,1.561084673,0.446743215,5993,,,
,12.71,1.567831814,,6383,,,
8.852088867,13.29,1.831598853,0.374244,6436,,,
7.764845701,14.01,1.483902981,0.329212411,6434,,,
,17.14,1.232751327,,5574,,,
,15.71,1.215344561,,5574,,,
,18.76,1.172773752,,5574,,,
,19.59,1.210164419,,5661,,,
,19.45,1.031530483,,5661,,,
,16.07,1.170979403,,5661,,,
,18.17,1.163446551,,5912,,,
,19.31,1.093564483,,5912,,,
,18.63,1.012991001,,6004,,,
,17.08,0.95629545,,6013,,,
,12.87,0.84857354,,6013,,,
,16.36,0.96581311,,5912,,,
,19.58,1.060459116,,6013,,,
,18.26,1.036400332,,5912,,,
7.788554016,15.91,1.414285372,0.363975222,6604,,,
11.57977963,14.33,1.59373093,0.437969815,5994,,,
16.78376673,13.25,1.545763089,0.056731084,5915,,,
18.69041539,13.16,1.51562152,0.092201981,5915,,,
9.66405017,14.27,1.51066901,0.396007183,6422,,,
17.594933,13.01,1.513743937,0.097260351,5910,,,
17.76239599,13.24,1.48939657,0.057863857,5930,,,
19.35473345,13.05,1.502524142,0.091355487,5925,,,
20.03007736,13.16,1.483369873,0.089574211,5815,,,
22.78312375,16.32,1.326113903,0.133276199,,1223,,
25.17971269,12.91,1.478440595,0.093961569,6550,,,
,16.29,1.372194706,,6121,1291,,
,15.8,1.368864381,,6043,1291,,
,30.42,0.678112581,,6009,1291,,
,32.97,0.634950532,,6057,1291,,
,16.45,1.357900412,,6050,1291,,
,31.85,0.683647619,,6098,1291,,
17.38602908,12.9,1.515011374,0.101274563,5925,,,
,22.01,1.128852626,,5834,1491,,
,26.65,1.169903337,,5782,,,
,12.45,1.544697962,,6332,,,
,12.39,1.561170425,,6330,,,
,12.08,1.544340701,,6370,,,
,8.74,,,5424,,,
,15.92,0.985521113,,5669,,,
,15.84,1.001482379,,5700,,,
,16.46,1.026323823,,5743,,,
,20.16,1.176639534,,6140,,,
,12.09,1.547700212,,6123,,,
,12.57,1.547024109,,6214,,,
,14.02,1.495381515,,6230,,,
,12.21,1.56350967,,6140,,,
,12.78,1.541452573,,6240,,,
,15.68,1.134900083,,5770,,,
,15.13,1.108966768,,5810,,,
,13.7,1.945633879,,6283,,,
,12.59,1.856938194,,6298,,,
,14.3,1.879484072,,6240,,,
,12.6,1.554880739,,5841,,,
,12.58,1.533540579,,6233,,,
,19.61,1.038620167,,6074,,,
,12.37,1.389155071,,5822,,,
,12.39,1.474695419,,5800,1389,,
,16.6,1.233098323,,5638,,,
,27.93,0.529381742,,5596,,,
,16.91,1.210212839,,5689,,,
,24.91,0.535122463,,5692,,,
,12.85,1.520939445,,6860,,,
,12.96,1.510872981,,6976,,,
